active_cases,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,deaths,last_updated_cases,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,subnotification_rate,trust_classification,data_last_refreshed
,6.0,,BR,Brasil,0.0,estabilizando,9,0.02250699826977451,0.0,2020-03-29,,,0.0,estabilizando,0.0,,,1777225,,,,,0,RO,Rondônia,,,2021-01-20 09:14:53
34.0,34.0,,BR,Brasil,9.0,estabilizando,12,0.3741772352837794,0.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0,1.0,,881935,,,,,0,AC,Acre,0.0,0.0,2021-01-20 09:14:53
38280.0,140.0,,BR,Brasil,29.0,crescendo,6,0.3932831105171383,1.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.002412779819123548,0.0036050156739811908,,4144597,,,,,1,AM,Amazonas,0.9963949843260188,3.0,2021-01-20 09:14:53
16.0,16.0,,BR,Brasil,0.0,estabilizando,8,0.3301632161859215,0.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0,1.0,,605761,,,,,0,RR,Roraima,0.0,0.0,2021-01-20 09:14:53
272.0,20.0,,BR,Brasil,2.0,estabilizando,11,0.026735279467944687,0.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0,0.07355836849507735,,8602865,,,,,0,PA,Pará,0.9264416315049226,3.0,2021-01-20 09:14:53
8.0,8.0,,BR,Brasil,4.0,estabilizando,9,0.118240906387492,0.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0,1.0,,845731,,,,,0,AP,Amapá,0.0,0.0,2021-01-20 09:14:53
10.0,10.0,,BR,Brasil,1.0,estabilizando,11,0.04450474484158218,0.0,2020-03-29,,2020-03-29,0.0,estabilizando,0.0,1.0,,1572866,,,,,0,TO,Tocantins,0.0,0.0,2021-01-20 09:14:53
78.0,21.0,,BR,Brasil,6.0,estabilizando,9,0.0381615678807369,1.0,2020-03-29,,2020-03-29,1.0,estabilizando,0.0014133914029902557,0.26951364175563464,,7075181,,,,,0,MA,Maranhão,0.7304863582443654,3.0,2021-01-20 09:14:53
16.0,16.0,,BR,Brasil,5.0,estabilizando,10,0.04277124684600243,3.0,2020-03-29,,2020-03-29,2.0,estabilizando,0.012220356241714981,1.0,,3273227,,,,,0,PI,Piauí,0.0,0.0,2021-01-20 09:14:53
6636.0,359.0,,BR,Brasil,37.0,estabilizando,1,0.36574370039327303,5.0,2020-03-29,,2020-03-29,1.0,estabilizando,0.0076652871339907514,0.0540987479329081,,9132078,,,,,0,CE,Ceará,0.9459012520670919,3.0,2021-01-20 09:14:53
